,姓名,性别,职称,医院,一级科室,二级科室,简介
2382,陈 洁,女,主任医师,浙江省立同德医院,传染科,肝病门诊(之江),"学会,乙肝,浙江省,鉴定,专家库,诊治,发热,热带病"
2383,翁卫东,女,主任中医师,浙江省立同德医院,传染科,肝病门诊(之江),"浙江省,感染,肝病,医学会,应急,危重病,会诊,人大"
2384,应栩华,女,主任中医师,浙江省立同德医院,肿瘤科,肿瘤科(天目山路),"浙江省,中医,临床,专业,委员,诊疗,人才,证书"
2385,姚庆华,女,主任中医师,浙江省立同德医院,肿瘤科,肿瘤科(天目山路),"肿瘤,委员会,协会,会,青年,中国,中华医学会,肠"
2386,韦巧玲,女,副主任中医师,浙江省立同德医院,肿瘤科,乳癌综合门诊,"肿瘤,治疗,中医,浙江,乳腺癌,中西医,结合,学术"
2387,冯正权,男,主任中医师,浙江省立同德医院,肿瘤科,肿瘤科(之江),"治疗,恶性肿瘤,处理,研究,中医药,综合,腹腔,吴"
2388,余志红,男,副主任中医师,浙江省立同德医院,肿瘤科,肿瘤科(之江),"肿瘤,治疗,分会,化疗,浙江省,中西医,减少,深入研究"
2389,韦巧玲,女,副主任中医师,浙江省立同德医院,肿瘤科,肿瘤科(之江),"肿瘤,治疗,中医,浙江,乳腺癌,中西医,结合,学术"
2390,陈华,女,副主任医师,浙江省立同德医院,肿瘤科,肿瘤科(之江),"肿瘤,协会,委员,浙江省,苏州大学,浙江大学,内科,医学院"
2391,王文成,男,主任医师,浙江省立同德医院,肿瘤科,肿瘤科(之江),"肿瘤,肺癌,中西医,研究,吴,良村,专委会,经验"
2392,刘子贵,男,主任医师,浙江省立同德医院,疼痛科,疼痛门诊,"麻醉,进修,委员,长海,浙江省,发表,论文,疼痛"
2393,林斌,男,副主任医师,浙江省立同德医院,疼痛科,疼痛门诊,"麻醉,疼痛,临床医学,分会,从事,中华医学会,诊疗,临床"
2394,王玉慧,女,主治医师,浙江省立同德医院,疼痛科,疼痛门诊,无
2395,贺吉辉,男,主治医师,浙江省立同德医院,疼痛科,疼痛门诊,无
2396,王玉慧,女,主治医师,浙江省立同德医院,疼痛科,带状疱诊神经痛门诊,无
2397,田树元,男,副主任医师,浙江省立同德医院,医学影像科,超声微创诊疗,"超声,介入,治疗,浙江省,结节,穿刺,乳腺,委员"
2398,蒋天安,男,主任医师,浙江省立同德医院,医学影像科,超声微创诊疗,"超声,介入,主任委员,导师,博士生,专委会,分会,院"
2399,杨光钊,男,主任医师,浙江省立同德医院,医学影像科,肺部结节放射诊治门诊,"影像,专业,委员会,中西医,医师,诊断,胸部,纵隔"
2400,放射科MDT,男,主任医师,浙江省立同德医院,医学影像科,肺部结节诊疗多学科联合门诊,"影像,专业,诊断,浙江省,中西医,穿刺,射频,学会"
2401,杨光钊,男,主任医师,浙江省立同德医院,医学影像科,放射科(之江),"影像,专业,委员会,中西医,医师,诊断,胸部,纵隔"
2402,王宇军,男,主任医师,浙江省立同德医院,医学影像科,神经五官骨肌影像门诊,"影像,神经,省,学会,委员会,专业,兼,委员"
2403,柴可群,男,主任中医师,浙江省立同德医院,中医科,内科1,"浙江省,学会,康复,副会长,省,中医药学会,专家,委员会"
2404,陈勇毅,男,主任中医师,浙江省立同德医院,中医科,内科1,"浙江,省,中医,中医药学会,杂志,委员会,文献,结合"
2405,徐再春,男,主任医师,浙江省立同德医院,中医科,内科1,"中医,学会,分会,中西医,肾脏病,浙江省,主任委员,中华"
2406,潘智敏,女,主任中医师,浙江省立同德医院,中医科,内科1,"浙江省,肝癌,综合症,中医,肝胆胰,脂肪肝,治疗,脑梗塞"
2407,尤卫平,男,主任中医师,浙江省立同德医院,中医科,内科1,"中医,体质,内科,疾病,擅长,协和医院,进修,瑞金医院"
2408,李亚平,男,主任中医师,浙江省立同德医院,中医科,内科1,"分会,中医,中医药学会,风湿病,内科,疾病,情志,朱良春"
2409,胡利平,男,副主任医师,浙江省立同德医院,中医科,内科1,"内科,浙江,心身疾病,工作,中医,结合,临床,中西医"
2410,裘维焰,男,主任中医师,浙江省立同德医院,中医科,内科1,"疾病,胃肠,方面,中医药学会,中西医,临床,结合,先父"
2411,盛增秀,男,主任中医师,浙江省立同德医院,中医科,内科1,"中医,盛增秀,原,潘澄濂,出版,突出,专家,传承"
2412,徐锡鸿,男,主任中医师,浙江省立同德医院,中医科,内科1,"科技,研发,西药,中药,授予,主持,基金,星"
2413,吕直,男,主任中医师,浙江省立同德医院,中医科,内科1,"胆病,月经不调,妇科,产后,调理,炎症,官能,心悸"
2414,胡旭,男,副主任中医师,浙江省立同德医院,中医科,内科1,"治疗,浙江省,分会,病,疑难,疼痛,中医,中西医"
2415,张瑛,女,副主任中医师,浙江省立同德医院,中医科,内科1,"主持,发表,作者,上海,科研项目,项,中医药大学,参与"
2416,王满棒,男,主任中医师,浙江省立同德医院,中医科,内科1,"中西医,返流性,完成,结合,胃,十二指肠,咳嗽,方面"
2417,刘浙伟,男,副主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"浙江医科大学,临床,杭,分校,毕业,工作"
2418,潘跃飞,女,副主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"潘澄濂,中医,内科,诊治,疑难病,临床,肝病,继承"
2419,郑建功,男,主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"三代,教授,北京中医药大学,硕士学位,获,医学,医学家,御医"
2420,陈永灿,男,主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"胃炎,综合征,顽固性,改变,十二指肠,胆,胆囊,胃"
2421,王忆黎,男,主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"中医药学会,浙江,研究,中医药大学,中医,从事,委员,分会"
2422,史奎钧,男,主任中医师,浙江省立同德医院,中医科,内科1(天目山路),"中医,工作,临床,教学,科研,中医师,浙江省,从事"
2423,尚智,男,,浙江省立同德医院,中医科,内科1(天目山路),"阻塞性,诊治,呼吸道,睡眠,哮喘,肺部,常见病,肿瘤"
2424,陈博,男,,浙江省立同德医院,中医科,内科1(天目山路),"名,中医,治,学会,未病,结合,分会,中西医"
2425,莫亚仿,男,副主任中医师,浙江省立同德医院,中医科,推拿科,"浙江省,分会,推拿,中医药,研究院,医学会,委员,出生"
2426,陈妙青,女,副主任医师,浙江省立同德医院,中医科,推拿科,"小儿,推拿,专家门诊,周五,周三,时间,浙江,腰腿痛"
2427,郑建功,男,主任中医师,浙江省立同德医院,中医科,养生保健门诊,"三代,教授,北京中医药大学,硕士学位,获,医学,医学家,御医"
2428,陈芳龙,男,副主任中医师,浙江省立同德医院,中医科,针灸科,"针灸,治疗,肩周炎,腰,颈椎病,浙江大学,学,省"
2429,李新伟,男,副主任中医师,浙江省立同德医院,中医科,针灸科,"浮针,会,腰腿痛,胃痛,浙江省,学会,毕业,浙江"
2430,谭克平,男,副主任中医师,浙江省立同德医院,中医科,针灸科,"分会,中医,临床,针灸,针灸学,会,经络,养生"
2431,周驰,男,副主任医师,浙江省立同德医院,中医科,针灸科,"治疗,针灸,中国,非洲,援,上海,腰椎间盘,疾病"
2432,黄飞华,男,主任中医师,浙江省立同德医院,中医科,治未病专科,"浙江省,委员,中医,硕士,中医药大学,上海第二医科大学,毕业,浙江"
2433,张瑛,女,副主任中医师,浙江省立同德医院,中医科,治未病专科,"主持,发表,作者,上海,科研项目,项,中医药大学,参与"
2434,李新伟,男,副主任中医师,浙江省立同德医院,中医科,浮针颈肩腰腿痛门诊,"浮针,会,腰腿痛,胃痛,浙江省,学会,毕业,浙江"
2435,沈堂彪,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医药,中医,中国,常务理事,协会,溃疡,胃炎,临床"
2436,赵秋枫,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"消化系统,诊治,消化,临床,内科,中医药,擅长,胃肠病"
2437,黄飞华,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"浙江省,委员,中医,硕士,中医药大学,上海第二医科大学,毕业,浙江"
2438,尤卫平,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医,体质,内科,疾病,擅长,协和医院,进修,瑞金医院"
2439,方文佳,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"浙江省,肝病,委员,参与,中医药学会,主持,发表,论文"
2440,卢笛,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"治疗,手术,腰腿痛,治愈,中医药学会,中西,廉,充分利用"
2441,葛星,女,副主任医师,浙江省立同德医院,中医科,膏方门诊,"疾病,糖尿病,甲状腺,并发症,痛风,治疗,擅长"
2442,韦巧玲,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"肿瘤,治疗,中医,浙江,乳腺癌,中西医,结合,学术"
2443,沈盛晖,男,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医,冠心病,介入,中心,科学,内,开展,植入"
2444,陈钦,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"分会,肾脏,疾病,风湿病,悉尼大学,乔治,老中医,经验"
2445,柴秀娟,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"浙江省,呼吸,专业,研究院,重点,杭州市,病,康复"
2446,李亚平,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"分会,中医,中医药学会,风湿病,内科,疾病,情志,朱良春"
2447,王冬梅,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"疾病,学会,分会,治疗,皮肤,浙江省,委员,美容"
2448,郑建功,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"三代,教授,北京中医药大学,硕士学位,获,医学,医学家,御医"
2449,汪亚群,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"康复,分会,中医药学会,中医,医学,医学会,时间,上午"
2450,陈明显,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"病,学术,痛风,上海,中医药,陆拯,专家,肝硬化"
2451,吴美倩,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医,浙江,专家,浙江省,临床,学科,消化系统,妇科病"
2452,史晓霞,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"浙江省,儿科,获,高徒,血液病,委员会,专业,临床"
2453,裘维焰,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"疾病,胃肠,方面,中医药学会,中西医,临床,结合,先父"
2454,施仁潮,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医药学会,省,浙江省,分会,兼任,硕士生,浙江,中医药大学"
2455,翁晓清,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"治疗,内科,疾病,中西医,结合,中医,情绪,病人"
2456,冯正权,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"治疗,恶性肿瘤,处理,研究,中医药,综合,腹腔,吴"
2457,江霞,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"分会,浙江省,临床,治疗,中医药学会,失眠,医学,中西医"
2458,沈汉澄,男,主任医师,浙江省立同德医院,中医科,膏方门诊,"肿瘤,特殊津贴,专家,两法,诊治,临床,中医药,放疗"
2459,李唯佳,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"病,糖尿病,薛盟,浙江省,内分泌,发表,擅长,相关"
2460,陈永灿,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"胃炎,综合征,顽固性,改变,十二指肠,胆,胆囊,胃"
2461,戈言平,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"耳鼻喉科,手术,中医药学会,学术,浙江,分会,专著,鼻"
2462,陈诚豪,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"分会,中国,肛肠,医师,擅长,促进会,委员会,镜检查"
2463,应栩华,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"浙江省,中医,临床,专业,委员,诊疗,人才,证书"
2464,张燕,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"参加,医学,中西医,期刊,基金,重点,发表,易激"
2465,胡旭,男,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"治疗,浙江省,分会,病,疑难,疼痛,中医,中西医"
2466,余丹凤,女,主任中医师,浙江省立同德医院,中医科,膏方门诊,"中医,中西,结合,参加,分会,急诊,肺病,支气管"
2467,张震中,男,主任中医师,浙江省立同德医院,中医科,膏方门诊,"分会,临床,中国,中西医,结合,国家中医药管理局,脑病,学会"
2468,郑颖,女,副主任医师,浙江省立同德医院,中医科,膏方门诊,"妇科,中西医,青年,浙江,结合,分会,中医药大学,学会"
2469,夏亮,男,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"消化,中西医,诊治,内镜,疾病,结合,胃炎,科研"
2470,楼尧勇,男,主任医师,浙江省立同德医院,中医科,膏方门诊,"现代,眼科,中西医,矫正术,治疗,眼袋,摘除术,青光眼"
2471,张瑛,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"主持,发表,作者,上海,科研项目,项,中医药大学,参与"
2472,郭丽明,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"耳鼻喉科,研究,鼻,hospital,发表,德国,医院,浙医二院"
2473,许琳,女,副主任医师,浙江省立同德医院,中医科,膏方门诊,"心血管,分会,浙江省,委员,营养,miller,医学院,结合"
2474,顾燕频,女,副主任中医师,浙江省立同德医院,中医科,膏方门诊,"医院,妇产科,绝经期,上海,中西医,参与,中管局,结合"
2475,王飞达,男,主治医师,浙江省立同德医院,中医科,体质辨识,"综合征,亚健康,蛋白尿,妇科,阳痿,血尿,尿路感染,早泄"
2476,莫亚仿,男,副主任中医师,浙江省立同德医院,中医科,腰椎间盘突出推拿,"浙江省,分会,推拿,中医药,研究院,医学会,委员,出生"
2477,陈永灿,男,主任中医师,浙江省立同德医院,中医科,中医四时养生门诊（天目山路）,"胃炎,综合征,顽固性,改变,十二指肠,胆,胆囊,胃"
2478,王忆黎,男,主任中医师,浙江省立同德医院,中医科,中医四时养生门诊（天目山路）,"中医药学会,浙江,研究,中医药大学,中医,从事,委员,分会"
2479,裘维焰,男,主任中医师,浙江省立同德医院,中医科,内科1(之江),"疾病,胃肠,方面,中医药学会,中西医,临床,结合,先父"
2480,尤卫平,男,主任中医师,浙江省立同德医院,中医科,内科1(之江),"中医,体质,内科,疾病,擅长,协和医院,进修,瑞金医院"
2481,余志红,男,副主任中医师,浙江省立同德医院,中医科,内科1(之江),"肿瘤,治疗,分会,化疗,浙江省,中西医,减少,深入研究"
2482,胡森,男,主任中医师,浙江省立同德医院,中医科,失眠疲劳中医治疗专科（天目山）,"研究生,专家,继承,学术,经验,南京中医药大学,毕业,指导老师"
2483,陈妙青,女,副主任医师,浙江省立同德医院,中医科,小儿推拿,"小儿,推拿,专家门诊,周五,周三,时间,浙江,腰腿痛"
2484,曹钒,男,主任中医师,浙江省立同德医院,其他,骨伤科(天目山路),"浙江,临床,中西医,疾病,中医药大学,从事,方法,骨伤科"
2485,张建方,男,主任中医师,浙江省立同德医院,其他,骨伤科(天目山路),"关节,置换,髋关节,骨科,膝关节,外科,人工关节,浙江"
2486,范朝阳,男,主任中医师,浙江省立同德医院,其他,骨伤科(天目山路),"浙江,上海,中医药大学,张氏,医学,富阳,骨伤,硕士"
2487,孙元水,男,主任医师,浙江省立同德医院,其他,胃肠肿瘤联合门诊,"肿瘤,胃癌,赴,进修,普外科,临床,手术,分会"
2488,何忠良,男,主任医师,浙江省立同德医院,其他,胸部肿瘤联合门诊,"省,胸外科,医师,引进,完成,获,协会,发表"
2489,沈肖军,男,副主任中医师,浙江省立同德医院,其他,中医伤科(天目山路),"中医,浙江省,临床,浙江,主持,针灸,中医药大学,系"
2490,汪亚群,女,主任中医师,浙江省立同德医院,康复医学科,中医康复专科门诊,"康复,分会,中医药学会,中医,医学,医学会,时间,上午"
2491,魏红权,女,主任医师,浙江省立同德医院,病理科,病理科,"病理,专业,医学系,参研,医院,病理科,工作,诊断"
2492,潘庆,男,副主任医师,浙江省立同德医院,病理科,病理科,"临床,病理,诊断,先后,医院,系统疾病,主修,肿瘤"
2493,李琰华,女,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),全科医疗科,全科医学科,"全科,患者,浙江省,分会,医疗,中医药学会,医学,常委"
2494,孙晓芬,女,,浙江省新华医院(浙江中医药大学附属第二医院),全科医疗科,专科护理,"伤口,护理,皮肤,擅长,处理,预防,卧床,中西医"
2495,吕品慧,女,,浙江省新华医院(浙江中医药大学附属第二医院),全科医疗科,专科护理,无
2496,苏琴,女,护师,浙江省新华医院(浙江中医药大学附属第二医院),全科医疗科,专科护理,"picc,超声,护理,并发症,维护,引导,擅长,进行"
2497,李政,女,副主任护师,浙江省新华医院(浙江中医药大学附属第二医院),全科医疗科,专科护理,无
2498,李永伟,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,风湿科免疫科,"风湿,浙江省,国家,风湿病,科技进步,临床,诊治,结合"
2499,杨科朋,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,风湿科免疫科,"省,学会,关节炎,医院,痛风,范永升,委员,蛋白尿"
2500,江劲,女,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,呼吸内科,"呼吸,疾病,浙江,肺,呼吸系统,诊治,原,肺部"
2501,黄晟,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,呼吸内科,"内科,疾病,支气管,呼吸,肺癌,早期,临床,发表"
2502,董雷,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,呼吸内科,"浙江省,诊治,分会,哮喘,中医药学会,委员,毕业,浙江"
2503,黄洁,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,老年病科,"老年,康复,委员,老年医学,浙江省,分会,学会,评估"
2504,施凯舜,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,老年病科,"老年,温州,多发病,医科大学,鉴别,中西医,治疗,常见病"
2505,孙文镛,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,内分泌科,"浙江大学,医学院,糖尿病,治疗,甲亢,诊断,疾病,毕业"
2506,胡江,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,内分泌科,"浙江省,糖尿病,中国,委员,诊断学,医学院,学会,审稿"
2507,季菊珍,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,内分泌科,"内分泌,系统疾病,甲状腺,代谢,疾病,擅长,诊治,糖尿病"
2508,张晋红,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,内分泌科,"康复,专业,委员,内分泌,主持,局,代谢,疾病"
2509,贺晓鸣,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,内分泌科,"分会,营养,委员,糖尿病,内分泌,中医药学会,发表,中国"
2510,郭晋辉,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,神经内科,"神经内科,发表,经验,分会,学会,头痛,帕金森,浙江省"
2511,徐彬,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,神经内科,"浙江省,委员会,神经,医学会,专业,医师,疾病,会"
2512,王章流,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"浙江省,消化,消化道,协会,内镜,内科,诊治,食管炎"
2513,郑华君,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"支架,内镜,消化道,分会,胰胆管,临床,基础,青委"
2514,陈兴玲,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"治疗,内镜,质量,临床,疾病,委员,浙江省,中西医"
2515,刘英超,女,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"学组,消化,医院,浙江省,研究,浙江,项,省"
2516,刘福,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"胃肠道,诊疗,功能性,研究,疾病,心身疾病,疑难病,参编"
2517,钟继红,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,消化内科,"中医,熟练掌握,国家,师从,学术,呼吸系统,辩证,继承人"
2518,黄抒伟,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"省,心血管病,介入,分会,心血管,浙江省,中西医,委员"
2519,周冰之,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"急诊,浙江省,委员,医学,浙江,获得,先进个人,分会"
2520,周优昌,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"内科,浙江大学,卫生厅,卫生局,高血压,心律失常,杭州市,心血管"
2521,车庆,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"心血管,治疗,浙江省,分会,阜外,医院,心血管病,高血压"
2522,窦丽萍,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"康复,常务委员,分会,浙江省,浙江,治疗,临床,心血管"
2523,奚中堪,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"诊治,心血管,研究,心肌梗死,人,高脂血症,心力衰竭,危重病"
2524,王审,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心血管内科,"浙江省,包括,疾病,介入,高血压,冠脉,心血管,心律失常"
2525,胡莲波,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,"浙江大学,血液,医学院,治疗,擅长,毕业,疾病"
2526,胡美薇,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,无
2527,傅丽娟,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,"血液病,恶性,血研,浙江省,理论,原因,血液,医师"
2528,成志,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,"恶性,研究,多发性,从事,血液科,进修,继承人,疾病"
2529,杨阳,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,"治疗,多发性,各种类型,淋巴瘤,贫血,白血病,减少,血小板"
2530,郑兵荣,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,血液科,"治疗,白血病,血小板,减少,从事,淋巴瘤,贫血,白细胞"
2531,陆明,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,高血压专病,"浙江省,治疗,心律失常,心血管,医生,sci,期刊论文,核心"
2532,卜刚,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,高血压专病,"浙江,浙江大学,研究生,起搏,药物,医学院,硕士,电"
2533,董雷,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,哮喘专科,"浙江省,诊治,分会,哮喘,中医药学会,委员,毕业,浙江"
2534,李能娟,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,高脂血症,"浙江大学,肾上腺,医学院,高脂血症,擅长,并发症,糖尿病,治疗"
2535,邹玉婷,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,甲状腺内科专科,"疾病,硕士,医院,内分泌科,浙江大学,病,血糖,方向"
2536,蔡宛如,女,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,慢性咳嗽特需门诊,"疾病,浙江省,呼吸,中医,学科,结合,内科,中医药学会"
2537,蔡宛如,女,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,慢性阻塞性肺病特需门诊,"疾病,浙江省,呼吸,中医,学科,结合,内科,中医药学会"
2538,周未莹,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,帕金森及运动障碍专科,"中西医,头晕,结合,头痛,治疗,运动障碍,帕金森病,擅长"
2539,傅丽娟,女,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,贫血专科,"血液病,恶性,血研,浙江省,理论,原因,血液,医师"
2540,黄继勇,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,痛风专科,"风湿病,分会,学会,委员,省部级,项,中西医,浙江省"
2541,李霄鹏,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,痛风专科,"结合,脊柱炎,北京中医药大学,强直性,擅长,关节炎,治疗,类风湿"
2542,吴忧,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,头痛头晕专科,"神经内科,首都医科大学,讲师,教学,建平,新华,神经病,教研室"
2543,陆明,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心衰专科门诊,"浙江省,治疗,心律失常,心血管,医生,sci,期刊论文,核心"
2544,卜刚,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,心衰专科门诊,"浙江,浙江大学,研究生,起搏,药物,医学院,硕士,电"
2545,缪菁,女,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,中西医肥胖专科,"病,代谢,研究,从事"
2546,王进波,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),内科,中西医肥胖专科,"病,代谢,研究,从事"
2547,毛捷鸿,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肛肠外科,"发表,浙江省,肛肠,外科,医学院,结,脓肿,毕业"
2548,邹璎,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肛肠外科,"肛肠科,医院,发表,治疗,肛肠,医学院,外科,进修"
2549,闫兴军,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肝胆外科,"委员会,浙江省,诊治,职务,胃肠,血管,康复,专业"
2550,刘建,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肝胆外科,"临床,外科,肿瘤,腹腔镜,硕士生,消化道,基础,切除"
2551,姜斌骅,男,主治医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肝胆外科,"普通外科,疝,类型,技术,诊治,基础,手术,从事"
2552,连建安,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,肝胆外科,"腹腔镜,肿瘤,治疗,微创,疝,疝的,肝脏,结石"
2553,史晓林,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"浙江省,中国,专业,国家,编委,中医,项,委员会"
2554,陈哲,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"脊柱,骨折,委员,外科,椎间盘,专业,胸椎,学会"
2555,王昌兴,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"浙江省,分会,医院,医师,关节,专业,德国,骨科"
2556,董黎强,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"脊柱,骨科,浙江省,外科,参与,参编,委员,临床"
2557,吴连国,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"浙江省,运动,中国,骨伤科,委员,带头人,学会,鉴定"
2558,姜滔,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"治疗,损伤,微创,医院,脱位,进修,习惯性,肩"
2559,王伟东,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"委员,人工,关节,浙江省,中医药,治疗,置换术,膝关节"
2560,赵旭辉,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"骨折,诊断,临床,工作,颈椎病,腰椎间盘,骨科,腰腿痛"
2561,金肖强,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"骨科,脊柱,进修,创伤,骨折,手术,医院,工作"
2562,吴建民,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"骨科,浙江省,专业,关节,四肢,医院,发表,国家"
2563,沈建国,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"骨科,治疗,骨关节炎,骨折,临床,疾病,四肢,瑞金医院"
2564,曹根洪,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"腰椎间盘,浙江大学,骨伤科,教学,临床,小儿麻痹,方面,髋膝"
2565,许超,男,主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"中西医,创伤,结合,骨关节,工程,发表,医学会,教授"
2566,黄俊俊,男,副主任医师,浙江省新华医院(浙江中医药大学附属第二医院),外科,骨伤科,"青年,创伤,浙江省,专家,委员会,疾病,腰椎间盘,骨质"
